state,year,fatalityrate,beertax,legdrinkage,jail,commserv,vmiles,unemprate,incomecap
1,1982,2.13,1.54,19,no,no,7.23,14.40,10544.15
1,1983,2.35,1.79,19,no,no,7.84,13.70,10732.80
1,1984,2.34,1.71,19,no,no,8.26,11.10,11108.79
1,1985,2.19,1.65,19,no,no,8.73,8.90,11332.63
1,1986,2.67,1.61,21,no,no,8.95,9.80,11661.51
1,1987,2.72,1.56,21,no,no,9.17,7.80,11944.00
1,1988,2.49,1.50,21,no,no,9.67,7.20,12368.62
4,1982,2.50,0.21,19,yes,yes,6.81,9.90,12309.07
4,1983,2.27,0.21,19,yes,yes,6.59,9.10,12693.81
4,1984,2.83,0.30,19,yes,yes,6.71,5.00,13265.93
4,1985,2.80,0.38,21,yes,yes,6.77,6.50,13726.70
4,1986,3.07,0.37,21,yes,yes,8.13,6.90,14107.33
4,1987,2.77,0.36,21,yes,yes,9.37,6.20,14241.00
4,1988,2.71,0.35,21,yes,yes,9.82,6.30,14408.08
5,1982,2.38,0.65,21,no,no,7.21,9.80,10267.30
5,1983,2.40,0.68,21,no,no,7.18,10.10,10433.49
5,1984,2.24,0.60,21,no,no,7.08,8.90,10916.48
5,1985,2.26,0.58,21,no,no,7.25,8.70,11149.36
5,1986,2.54,0.56,21,no,no,7.47,8.70,11399.38
5,1987,2.68,0.55,21,no,no,7.67,8.10,11537.00
5,1988,2.55,0.52,21,no,no,8.02,7.70,11760.35
6,1982,1.86,0.11,21,no,no,6.86,9.90,15797.14
6,1983,1.81,0.10,21,no,no,7.22,9.70,15970.18
6,1984,1.95,0.10,21,no,no,7.62,7.80,16590.11
6,1985,1.88,0.10,21,no,no,7.87,7.20,16985.17
6,1986,1.95,0.09,21,no,no,8.03,6.70,17356.04
6,1987,1.99,0.09,21,no,no,8.18,5.80,17846.00
6,1988,1.90,0.09,21,no,no,8.53,5.30,18049.09
8,1982,2.17,0.21,21,no,yes,7.74,7.70,15082.34
8,1983,2.05,0.21,21,no,yes,7.66,6.60,15131.88
8,1984,1.91,0.20,21,no,yes,7.71,5.60,15486.81
8,1985,1.79,0.19,21,no,yes,8.09,5.90,15569.92
8,1986,1.85,0.19,21,no,yes,8.13,7.40,15616.10
8,1987,1.79,0.18,21,no,yes,8.18,7.70,15605.00
8,1988,1.51,0.17,21,no,yes,8.38,6.40,15845.04
9,1982,1.65,0.22,18,no,no,6.44,6.90,17255.37
9,1983,1.39,0.23,19,no,no,6.57,6.00,17744.27
9,1984,1.49,0.25,20,no,no,6.68,4.60,18760.44
9,1985,1.41,0.24,20,yes,yes,6.98,4.90,19312.50
9,1986,1.41,0.23,21,yes,yes,7.66,3.80,20152.73
9,1987,1.40,0.23,21,yes,yes,8.34,3.30,21192.00
9,1988,1.50,0.22,21,yes,yes,8.06,3.00,22193.46
10,1982,2.03,0.17,20,no,no,7.65,8.50,14263.72
10,1983,1.82,0.17,20,no,no,8.06,8.10,14500.00
10,1984,2.12,0.16,21,no,no,8.37,6.20,14925.27
10,1985,1.67,0.15,21,no,no,8.63,5.30,15408.90
10,1986,2.15,0.15,21,no,no,9.05,4.30,15822.50
10,1987,2.27,0.14,21,no,no,9.45,3.20,16407.00
10,1988,2.42,0.14,21,no,no,9.70,3.20,16998.07
12,1982,2.53,1.07,19,no,yes,7.59,8.20,13502.39
12,1983,2.50,1.17,19,no,yes,7.60,8.60,13924.31
12,1984,2.55,1.19,19,no,yes,7.74,6.30,14307.69
12,1985,2.49,1.14,20,no,yes,7.75,6.00,14760.59
12,1986,2.42,1.11,21,no,yes,7.77,5.70,15102.17
12,1987,2.36,1.08,21,no,yes,7.79,5.30,15584.00
12,1988,2.50,1.04,21,no,yes,8.54,5.00,15979.79
13,1982,2.17,2.72,19,no,no,8.62,7.80,11774.46
13,1983,2.26,2.61,19,no,no,8.52,7.50,12237.39
13,1984,2.41,2.51,19,no,no,8.64,6.00,12957.14
13,1985,2.28,2.42,19,no,no,8.99,6.50,13364.41
13,1986,2.51,2.35,20,no,no,9.34,5.90,13891.64
13,1987,2.57,2.28,21,no,no,9.69,5.50,14306.00
13,1988,2.61,2.19,21,no,no,9.82,5.80,14687.20
16,1982,2.62,0.40,19,no,no,8.03,9.80,11078.76
16,1983,2.66,0.39,19,no,no,8.39,9.80,11346.33
16,1984,2.42,0.37,19,no,no,7.78,7.20,11386.81
16,1985,2.54,0.36,19,no,no,7.67,7.90,11459.75
16,1986,2.57,0.35,19,no,no,7.90,8.70,11541.80
16,1987,2.63,0.34,21,no,no,8.14,8.00,11859.00
16,1988,2.56,0.32,21,no,no,8.10,5.80,12189.61
17,1982,1.44,0.19,21,no,no,5.70,11.30,14743.44
17,1983,1.33,0.18,21,no,no,5.86,11.40,14745.41
17,1984,1.34,0.17,21,no,no,6.07,9.10,15390.11
17,1985,1.33,0.17,21,no,no,6.14,9.00,15602.75
17,1986,1.38,0.16,21,no,no,6.35,8.10,15988.65
17,1987,1.43,0.16,21,no,no,6.54,7.40,16417.00
17,1988,1.58,0.15,21,no,no,6.76,6.80,16915.30
18,1982,1.75,0.31,21,no,no,7.15,11.90,12282.82
18,1983,1.86,0.30,21,no,no,7.28,11.10,12364.68
18,1984,1.68,0.28,21,no,no,7.48,8.60,13008.79
18,1985,1.77,0.27,21,no,no,7.42,7.90,13161.02
18,1986,1.89,0.27,21,no,no,7.71,6.70,13582.04
18,1987,1.91,0.26,21,no,no,7.98,6.40,13937.00
18,1988,1.98,0.25,21,no,no,9.20,5.30,14363.81
19,1982,1.65,0.38,19,no,no,6.65,8.50,12968.97
19,1983,1.77,0.36,19,no,no,6.77,8.10,12573.39
19,1984,1.45,0.35,19,no,no,7.06,7.00,13203.30
19,1985,1.64,0.33,19,no,no,7.00,8.00,13351.70
19,1986,1.55,0.38,20,no,no,7.19,7.00,13812.18
19,1987,1.73,0.43,21,no,no,7.34,5.50,14284.00
19,1988,1.97,0.48,21,no,no,7.73,4.50,14111.65
20,1982,2.07,0.48,21,yes,yes,7.33,6.30,14094.27
20,1983,1.69,0.47,21,yes,yes,7.48,6.10,13917.43
20,1984,2.09,0.45,21,yes,yes,7.67,5.20,14308.79
20,1985,1.98,0.43,21,yes,yes,7.87,5.00,14631.36
20,1986,2.03,0.42,21,yes,yes,8.10,5.40,14977.30
20,1987,1.98,0.41,21,yes,yes,8.30,4.90,15152.00
20,1988,1.94,0.39,21,yes,yes,8.48,4.80,15167.47
21,1982,2.23,0.22,21,no,no,6.94,10.60,11071.60
21,1983,2.09,0.21,21,no,no,7.19,11.70,10913.99
21,1984,2.03,0.20,21,no,no,7.51,9.30,11441.76
21,1985,1.91,0.19,21,no,no,7.65,9.50,11405.72
21,1986,2.16,0.19,21,no,no,7.86,9.30,11602.68
21,1987,2.26,0.18,21,no,no,8.14,8.80,12008.00
21,1988,2.25,0.17,21,no,no,8.48,7.90,12340.71
22,1982,2.49,0.87,18,yes,yes,6.14,10.30,12213.60
22,1983,2.10,0.83,18,yes,yes,6.21,11.80,11994.27
22,1984,2.15,0.80,18,yes,yes,7.08,10.00,12017.58
22,1985,2.08,0.77,18,yes,yes,7.45,11.50,11972.46
22,1986,2.07,0.75,18,yes,yes,7.11,13.10,11602.68
22,1987,1.85,0.73,21,yes,yes,6.86,12.00,11515.00
22,1988,2.10,0.70,21,yes,yes,7.87,10.90,11830.61
23,1982,1.46,0.81,20,yes,no,6.73,8.60,11442.72
23,1983,1.96,0.77,20,yes,no,6.92,9.00,11795.87
23,1984,2.01,0.74,20,yes,no,8.08,6.10,12271.43
23,1985,1.77,0.72,21,yes,no,7.97,5.40,12609.11
23,1986,1.83,0.75,21,yes,no,8.55,5.30,13292.05
23,1987,1.95,0.79,21,yes,no,9.07,4.40,13984.00
23,1988,2.12,0.76,21,yes,no,9.46,3.80,14538.98
24,1982,1.50,0.24,21,no,no,6.77,8.40,15198.09
24,1983,1.53,0.23,21,no,no,7.12,6.90,15644.50
