,name,orgs_name,gists,following,public repos,followers,Deep Learning Community,contributions,year
0,tensorflower-gardener,0,0,0,0,172,Tensorflow,9128,2
1,ilblackdragon,2,11,9,32,361,Tensorflow,409,8
2,kosklain,0,0,0,12,14,Tensorflow,351,7
3,chadkennedyonline,0,0,0,3,1,Tensorflow,11,3
4,ringw,2,2,6,18,79,Tensorflow,11,6
5,daj,0,6,7,27,12,Tensorflow,1086,7
6,Lewuathe,3,93,194,86,147,Tensorflow,233,6
7,znah,0,0,0,16,67,Tensorflow,11,6
8,alanhdu,1,15,7,70,17,Tensorflow,11,6
9,alsrgv,0,6,3,7,34,Tensorflow,11,2
10,AndreiCostinescu,0,0,4,16,2,Tensorflow,10,4
11,andrewcmyers,2,0,12,13,37,Tensorflow,10,5
12,sanjoy,4,5,25,29,147,Tensorflow,10,9
13,RNabel,0,2,12,36,26,Tensorflow,32,3
14,ArtsiomCh,0,0,0,11,1,Tensorflow,10,3
15,goat000,0,0,0,2,5,Tensorflow,10,7
16,jjsjann123,0,0,0,21,0,Tensorflow,10,5
17,yongtang,4,0,0,12,130,Tensorflow,215,4
18,danijar,2,21,35,55,419,Tensorflow,10,6
19,dgboy2000,0,2,1,18,12,Tensorflow,10,8
20,flx42,1,1,4,25,134,Tensorflow,10,5
21,purpledog,1,0,0,0,41,Tensorflow,10,7
22,gautam1858,2,1,7,29,15,Tensorflow,10,5
23,PuchatekwSzortach,0,1,0,26,8,Tensorflow,10,3
24,tatianashp,1,0,0,2,23,Tensorflow,32,7
25,taion,8,11,1,67,584,Tensorflow,9,6
26,johntbates,0,3,0,5,8,Tensorflow,9,7
27,vrv,0,1,3,6,468,Tensorflow,9,8
28,suharshs,2,4,9,15,102,Tensorflow,9,6
29,samjabrahams,0,0,6,27,275,Tensorflow,206,3
30,JoshVarty,0,190,17,29,60,Tensorflow,9,7
31,kemaswill,0,1,5,62,33,Tensorflow,9,6
32,k-w-w,2,0,0,2,27,Tensorflow,9,1
33,Kongsea,0,3,9,57,12,Tensorflow,9,5
34,markmcd,2,13,16,29,159,Tensorflow,9,9
35,blakehechtman,0,0,0,0,1,Tensorflow,31,5
36,nikhilmishra000,0,0,0,8,2,Tensorflow,9,4
37,ScorpioCPH,2,0,75,49,24,Tensorflow,9,5
38,rachellim,2,0,0,0,15,Tensorflow,9,4
39,scottcjt,0,0,0,3,1,Tensorflow,9,1
40,sjperkins,4,4,7,20,6,Tensorflow,9,5
41,tfboyd,1,0,0,7,52,Tensorflow,187,2
42,MarkDaoust,1,1,0,11,41,Tensorflow,8,6
43,liuyipei,0,0,1,3,2,Tensorflow,8,5
44,yilei,4,0,41,15,97,Tensorflow,8,7
45,ybbaigo,0,2,8,49,11,Tensorflow,8,8
46,wchargin,2,107,5,48,69,Tensorflow,31,5
47,yanivbl6,0,0,0,2,0,Tensorflow,8,2
48,jinze1994,0,0,3,9,7,Tensorflow,8,3
49,lspvic,0,0,8,10,14,Tensorflow,8,5
50,mdfaijul,0,0,0,0,1,Tensorflow,8,1
51,jalammar,0,4,9,11,143,Tensorflow,8,7
52,ajschumacher,1,20,416,240,280,Tensorflow,8,7
53,bixia1,0,0,0,0,0,Tensorflow,184,0
54,annarev,2,0,1,4,118,Tensorflow,7,2
55,alinas,1,0,0,3,4,Tensorflow,7,7
